Cruise,Cycle,Deployment_Datetime,Recovery_Datetime,Deployment_Latitude_deg,Deployment_Longitude_deg,Recovery_Latitude_deg,Recovery_Longitude_deg,Depth_m,Zeu_m,Carbon_flux_mgm2day,Carbon_flux_standard_error_mgm2day,Carbon_flux_corr_mgm2day,Carbon_flux_standard_error_corr_mgm2day,water_age,Nsupply_mmolCm3d,GAalongtraj_Cproduction_mgCm3day,GAalongtraj_CZeu_mgCm2day,export_EFOC_mgm2day,GAgridded_Cproduction_mgm3day,GAgridded_CZeu_mgm2day
 704,  1,04/04/2007 08:03,04/08/2007 12:12,   34.253,   -120.838,   34.272,   -121.161,100, 71.01,143.5684982,12.68586283,183.7073973,16.23257798,13.95664611,8.389579016,7.618671612,170.1239701,229.0514286, 6.987383047,156.0273765 
 704,  2,04/09/2007 17:58,04/13/2007 13:42,   33.669,   -123.133,   33.311,   -123.656,100, 99.26,31.74854962,6.276236376, 31.9182583,6.309785367,87.40707732,10.85392532,1.043936169,19.02062141,107.6272727,           0,          0 
 704,  4,04/16/2007 08:49,04/20/2007 13:11,   34.223,   -121.189,   33.805,   -120.738,100, 79.97,169.8845822,40.81147594,199.5438877,47.93654883,25.96501492,14.89448839,12.76898042,267.3161945,175.2566667,  8.90535532,186.4319324 
 810,  1,10/04/2008 01:21,10/08/2008 08:56, 34.12959, -120.97084, 33.78271, -120.71367, 50, 71.28,111.8595908,34.39623386,90.50329909,27.82928685,73.06029483,6.938033341,1.705406757,38.00755786,184.9633333,           0,          0 
 810,  2,10/09/2008 01:50,10/14/2008 06:33, 32.88513, -123.68553, 32.26122, -123.90085,100, 98.11,68.60359948,12.84946124,69.55332598,13.02734511,77.22793468,16.14801421,1.580224248,29.03123002,97.79027778,0.4107246871,7.545665041 
 810,  3,10/15/2008 01:05,10/18/2008 05:08, 33.95175, -121.81382, 34.19214, -121.64757, 60, 69.85,120.2472991,12.45477929,105.8716327,10.96579989,35.30492332,8.870567995,7.155730494,161.1266795,233.3196429, 1.945175525,43.79981522 
 810,  4,10/19/2008 03:41,10/21/2008 07:21, 33.61098, -121.15264, 33.59851, -121.15575, 50,  44.9,216.3209175,4.404551696,229.2651853,4.668112416,        NaN,        NaN,        NaN,        NaN,      334.4,           0,          0 
 810,  5,10/22/2008 00:54,10/24/2008 08:58, 32.92659, -120.89674, 32.78163, -120.78549, 60, 48.98,127.9178716,27.25054901,  128.17651,27.30564717,12.73325128,8.217257836,7.183968471,187.9908561,    304.475, 2.750597903,71.97794041 
 810,  6,10/25/2008 20:31,10/28/2008 08:36,  32.5992, -120.60667, 32.52518, -120.11915,100, 96.98,107.1589191,5.040572081,107.4644947,5.054945833,18.34816436, 9.07861873,9.013033438,166.9364283,   117.4775,0.4615318717,8.548340882 
 904,  1,04/24/2009 15:45,04/27/2009 07:02, 34.26545,  -121.7055,    34.05,    -121.67,100, 94.96,177.5163917,30.92056608,180.0873134,31.36838024,15.72109629,23.83466948,17.46151501, 328.154554,157.5583333, 12.01281438,225.7570288 
